100100;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;38151290
100200;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos;3917
100300;Protetores de caçamba;39181000
100400;Reservatórios de óleo;39233000
100500;Frisos, decalques, molduras e acabamentos;39263000
100600;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;40103
100600;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;59100000
100700;Juntas, gaxetas e outros elementos com função semelhante de vedação;40169300
100700;Juntas, gaxetas e outros elementos com função semelhante de vedação;4823909
100800;Partes de veículos automóveis, tratores e máquinas autopropulsadas;40161010
100900;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;40169990
100900;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;57050000
101000;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico;59039000
101100;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias;59090000
101200;Encerados e toldos;63061
101300;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores;65061000
101400;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias;6813
101500;Vidros de dimensões e formatos que permitam aplicação automotiva;70071100
101500;Vidros de dimensões e formatos que permitam aplicação automotiva;70072100
101600;Espelhos retrovisores;70091000
101700;Lentes de faróis, lanternas e outros utensílios;70140000
101800;Cilindro de aço para GNV (gás natural veicular);73110000
101900;Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0;73110000
102000;Molas e folhas de molas, de ferro ou aço;7320
102100;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00;7325
102200;Peso de chumbo para balanceamento de roda;78060Z0
102300;Peso para balanceamento de roda e outros utensílios de estanho;80070090
102400;Fechaduras e partes de fechaduras;830120
102400;Fechaduras e partes de fechaduras;830160
102500;Chaves apresentadas isoladamente;830170
102600;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;83021000
102600;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;83023000
102700;Triângulo de segurança;831000
102800;Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87;84073
102900;Motores dos tipos utilizados para propulsão de veículos automotores;840820
103000;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408;84099
103100;Motores hidráulicos;84122
103200;Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão;841330
103300;Bombas de vácuo;84141000
103400;Compressores e turbocompressores de ar;8414801
103400;Compressores e turbocompressores de ar;8414802
